team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
University of Guelph,10003569,AB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
"University of Hawaii, Manoa",51,HI,Division 1,1,MPSF,mpsf
University of Houston,63,TX,Division 1,1,American Athletic,american
University of Idaho,519,ID,Division 1,1,WAC,wac
University of Illinois,23,IL,Division 1,1,Big Ten,big10
University of Illinois at Chicago,158,IL,Division 1,1,Horizon,horizon
University of Incarnate Word,154,TX,Division 1,1,CCSA,ccsa
University of Indianapolis,100,IN,Division 2,2,GLVC,glvc
University of Iowa,166,IA,Division 1,1,Big Ten,big10
University of Jamestown,10025387,ND,NONE,NONE,NONE,NONE
University of Kansas,152,KS,Division 1,1,Big 12,big12
University of Kentucky,176,KY,Division 1,1,SEC,sec
University of La Verne,131,CA,Division 3,3,SCIAC,sciac
University of Lethbridge,10003229,AB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Louisiana at Monroe,148,LA,NONE,NONE,NONE,NONE
University of Louisville,174,KY,Division 1,1,ACC,acc
