team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
McMaster University,10003275,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Medaille College,10020159,NY,Division 3,3,Allegheny,amcc
Memorial University of Newfoundland,10010769,NF,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Meramec Community College,10009603,MO,NONE,NONE,NONE,NONE
Merced College,591,CA,CCCAA,6,NONE,NONE
Mercer College,10009604,NJ,NONE,NONE,NONE,NONE
Mercyhurst Northeast,10002434,AL,NONE,NONE,NONE,NONE
Mercyhurst University,10002943,PA,NJCAA,5,NONE,NONE
Merrimack College,10002057,MA,Division 1,1,Northeast,nec
Messiah College,568,PA,Division 3,3,Middle Atlantic,mid-atlantic
Metropolitan State College of Denver,424,CO,NONE,NONE,NONE,NONE
MIami Dade College,10009605,FL,NONE,NONE,NONE,NONE
Miami Dade North,10009606,FL,NONE,NONE,NONE,NONE
Miami Dade South,10009607,FL,NONE,NONE,NONE,NONE
Miami University (Ohio),426,OH,Division 1,1,Mid-American,mac
Michigan State University,427,MI,Division 1,1,Big Ten,big10
Middlebury College,101,VT,Division 3,3,NESCAC,nescac
Midland University,10009577,NE,NAIA,4,KCAC,kcac
Midway University,10025443,KY,NAIA,4,Mid-South,mid-south
Millersville University,428,PA,Division 2,2,PSAC,psac
Milligan University,539,TN,NAIA,4,Appalachian Athletic,App
Millikin University,429,IL,Division 3,3,CCIW,cciw
Mills College,430,CA,Division 3,3,Liberal Arts,libarts
Millsaps College,10016801,MS,Division 3,3,SAA,saa
Minnesota State University Moorhead,41,MN,Division 2,2,Northern Sun,nsic
Minnesota State University-Mankato,71,MN,Division 2,2,Northern Sun,nsic
Misericordia University,267,PA,Division 3,3,Middle Atlantic,mid-atlantic
Missouri State University,454,MO,Division 1,1,Mid-American,mac
Missouri University of Science & Technology,447,MO,Division 2,2,GLIAC,gliac
Modesto Junior College,592,CA,CCCAA,6,NONE,NONE
Monmouth College,361,IL,Division 3,3,Midwest,midwest
Monmouth University,10007454,NJ,Division 1,1,MAAC,maac
Monroe Community College,649,NY,NJCAA,5,NONE,NONE
Montclair State University,433,NJ,Division 3,3,Metro,metro
Monterrey Peninsula College,10009633,CA,NONE,NONE,NONE,NONE
Montgomery College,10009608,MD,NONE,NONE,NONE,NONE
Moravian College,10025302,PA,Division 3,3,Landmark,landmark
Morningside College,546,IA,NAIA,4,Liberal Arts,libarts
Morrisville State College,10009275,NY,NONE,NONE,NONE,NONE
Mount Allison University,10010771,NB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Mount Holyoke College,420,MA,Division 3,3,NEWMAC,newmac
Mount Saint Mary College (New York),435,NY,Division 3,3,Metro,metro
Mount Saint Mary's University (MD),544,MD,Division 1,1,CCSA,ccsa
Mount San Antonio,593,CA,CCCAA,6,NONE,NONE
Muskingum University,10002663,OH,NONE,NONE,NONE,NONE
Napa Community College,10009609,CA,NONE,NONE,NONE,NONE
Nassau Community College,10009610,NY,NONE,NONE,NONE,NONE
Nazareth (NY) College,10002664,NY,NONE,NONE,NONE,NONE
Nazareth College,437,NY,Division 3,3,Empire 8,empire8
Nebraska Wesleyan University,10005094,NE,Division 3,3,Liberal Arts,libarts
Neumann University,10020710,PA,Division 3,3,Atlantic East,aec
New Jersey Institute of Technology,443,NJ,Division 1,1,America East,americaeast
New Mexico State University,444,NM,Division 1,1,WAC,wac
New York University,59,NY,Division 3,3,UAA,uaa
Niagara University,434,NY,Division 1,1,ECAC,ecac
North Carolina A&T State University,432,NC,Division 1,1,NONE,NONE
North Carolina State University,394,NC,Division 1,1,ACC,acc
North Central College,396,IL,Division 3,3,CCIW,cciw
North Park University,10002666,IL,NONE,NONE,NONE,NONE
Northeastern Illinois University,10009175,IL,NONE,NONE,NONE,NONE
Northeastern University,18,MA,Division 1,1,Colonial,caa
Northern Arizona University,398,AZ,Division 1,1,WAC,wac
Northern Illinois University,10002667,IL,NONE,NONE,NONE,NONE
Northern Michigan University,72,MI,Division 2,2,GLIAC,gliac
Northern State University,618,SD,Division 2,2,Northern Sun,nsic
Northwestern University,401,IL,Division 1,1,Big Ten,big10
Norwich University,402,VT,Division 3,3,ECAC,ecac
Notre Dame (Ohio) College,545,OH,Division 2,2,Mountain East,mountain-east
Nova Southeastern University,655,FL,Division 2,2,Sunshine,ssc
Oakland Community College,10009611,MI,NONE,NONE,NONE,NONE
Oakland University,21,MI,Division 1,1,Horizon,horizon
Oberlin College,404,OH,Division 3,3,North Coast,ncac
Occidental College,419,CA,Division 3,3,SCIAC,sciac
Ocean County College,650,NJ,NJCAA,5,Independent,independen
Ohio Northern University,406,OH,Division 3,3,Ohio,oac
